,title,price,used,city,date,shipping
0,Lego Zestaw Nr 21328 Seinfeld,250,True,"Warszawa, Targówek",02 listopada 2023,False
1,Lego 21328 Seinfeld,240,False,"Warszawa, Mokotów",10 listopada 2023,False
2,Funko Pop Seinfeld 1096 Jerry #3,35,False,Brzana,16 listopada 2023,True
3,Funko Pop Seinfeld 1094 George (Holistic) #2,40,False,Brzana,16 listopada 2023,True
4,Funko Pop Seinfeld 1094 George (Holistic) #1,40,False,Brzana,16 listopada 2023,True
5,Funko Pop Seinfeld 1096 Jerry #3,35,False,Brzana,16 listopada 2023,True
6,Funko Pop Seinfeld 1096 Jerry #2,35,False,Brzana,16 listopada 2023,True
7,Lego Seinfeld 21328,240,True,"Warszawa, Wola",16 listopada 2023,True
8,LEGO Ideas 21328 Seinfeld,250,False,"Warszawa, Wola",03 listopada 2023,False
9,Seinfeld DVD wszystkie sezony,380,True,"Warszawa, Żoliborz",12 listopada 2023,True
10,Nowe LEGO 21328 Ideas Seinfeld,320,False,"Białystok, Nowe Miasto",Dzisiaj o 08:53,True
11,Lego Ideas 21328 Seinfeld,350,False,"Kraków, Podgórze",11 listopada 2023,True
12,"DJ Seinfeld – Sunrise
Endotherm – ENDOS001",30,True,"Poznań, Górczyn",Dzisiaj o 10:48,False
13,Lego 21328 Seinfeld OKAZJA!,220,False,Orzech,31 października 2023,False
14,Ideas - Seinfeld 21328 Lego,300,False,"Wrocław, Krzyki",12 listopada 2023,False
15,Lego Seinfeld 21328,280,False,Ozimek,12 listopada 2023,True
16,LEGO 21328 Ideas - Seinfeld nowy MISB,299,False,"Poznań, Naramowice",11 listopada 2023,False
17,"DJ Seinfeld – Ruff Hysteria , natural 009",30,True,"Poznań, Górczyn",24 października 2023,False
18,LEGO Ideas 21328 Seinfeld,285,False,Nowy Gierałtów,20 października 2023,True
19,LEGO ideas 21328 Seinfeld,200,True,Kołbiel,23 października 2023,True
20,Funko pop Elaine Seinfeld 1083,60,False,Rabka-Zdrój,12 listopada 2023,True
21,Funko Pop! - Seinfeld - Kramer With Sandwitch 1095,35,False,Trąbki Wielkie,13 listopada 2023,True
22,"Nimrod (vinyl) - Green Day, 25th Anniversary Deluxe Edition",500,False,"Warszawa, Praga-Północ",Dzisiaj o 12:21,False
23,Klocki Lego 21328 Seinfeld nowe szybka wysyłka od ręki,399,True,Murowana Goślina,07 listopada 2023,True
24,Lego ideas 21328 SEINFELD,230,False,"Gliwice, Obrońców Pokoju",04 listopada 2023,False
25,"Figurka Funko Pop, Kramer (Seinfeld)",40,False,"Kraków, Mistrzejowice",14 listopada 2023,True
26,Is this anything? - Jerry Seinfeld,100,True,Pabianice,07 listopada 2023,True
27,Klocki LEGO Ideas Seinfeld 21328,300,False,Jastrzębie-Zdrój,24 października 2023,True
28,lego Ideas 21328 z serialu Seinfeld,220,True,Chojna,01 listopada 2023,True
29,Nowa instrukcja i naklejki LEGO Seinfeld,40,False,Klimontów,23 października 2023,True
30,"Figurka Funko Pop, Kramer, Good cop, Seinfeld",45,False,"Kraków, Mistrzejowice",14 listopada 2023,True
31,LEGO 21328 Seinfeld NOWY duży zestaw 1326 elementów!,280,False,"Gdańsk, Osowa",08 listopada 2023,True
32,Lego Figurka z Zestawu 21328 Seinfeld,15,True,"Warszawa, Targówek",02 listopada 2023,False
33,Funko POP Seinfeld Kramer (good cop) figurka nowa w opakowaniu custom,40,True,Miroszowice,16 listopada 2023,True
34,Figurka Funko Pop 1092 KRAMER (GOLF) Seinfeld Popcultcha Exclusive,39,False,Radlin,12 listopada 2023,True
35,LEGO 21328stk01 Naklejka z zestawu 21328 SEINFELD,9,False,Korytków,02 listopada 2023,True
36,Lego 75336 transporter inkwizytorów scythe,479,False,"Kraków, Podgórze",10 listopada 2023,True
37,Nowe LEGO 21328 Ideas - Seinfeld Kroniki,300,False,"Wrocław, Śródmieście",10 listopada 2023,False
38,Lego 10271 Fiat 500,480,False,"Kraków, Podgórze",04 listopada 2023,True
39,Funko POP Kramer (Golf) 1092 Seinfeld,55,False,"Białystok, Bojary",15 listopada 2023,True
